2025-03-27 12:42:40 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:42:40.928365
2025-03-27 12:42:40 | INFO | bot | bot_test.py:482 | Found 2 tasks to check
2025-03-27 12:42:40 | INFO | bot | bot_test.py:486 | Task 5: задача5 at 12:38 on 2025-3-27
2025-03-27 12:42:40 | INFO | bot | bot_test.py:490 | Time diff for task 5: -4.682139416666667 minutes
2025-03-27 12:42:40 | INFO | bot | bot_test.py:486 | Task 6: задача6 at 12:45 on 2025-3-27
2025-03-27 12:42:40 | INFO | bot | bot_test.py:490 | Time diff for task 6: 2.3178605833333332 minutes
2025-03-27 12:43:12 | INFO | bot | bot_test.py:550 | Starting bot and reminder service
2025-03-27 12:43:12 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:43:12.209208
2025-03-27 12:43:12 | INFO | bot | bot_test.py:482 | Found 2 tasks to check
2025-03-27 12:43:12 | INFO | bot | bot_test.py:486 | Task 5: задача5 at 12:38 on 2025-3-27
2025-03-27 12:43:12 | INFO | bot | bot_test.py:490 | Time diff for task 5: -5.203486799999999 minutes
2025-03-27 12:43:12 | INFO | bot | bot_test.py:486 | Task 6: задача6 at 12:45 on 2025-3-27
2025-03-27 12:43:12 | INFO | bot | bot_test.py:490 | Time diff for task 6: 1.7965132 minutes
2025-03-27 12:44:12 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:44:12.203036
2025-03-27 12:44:12 | INFO | bot | bot_test.py:482 | Found 3 tasks to check
2025-03-27 12:44:12 | INFO | bot | bot_test.py:486 | Task 5: задача5 at 12:38 on 2025-3-27
2025-03-27 12:44:12 | INFO | bot | bot_test.py:490 | Time diff for task 5: -6.203383933333333 minutes
2025-03-27 12:44:12 | INFO | bot | bot_test.py:486 | Task 6: задача6 at 12:45 on 2025-3-27
2025-03-27 12:44:12 | INFO | bot | bot_test.py:490 | Time diff for task 6: 0.7966160666666667 minutes
2025-03-27 12:44:12 | INFO | bot | bot_test.py:486 | Task 12: зад13уц at 13:00 on 2025-3-27
2025-03-27 12:44:12 | INFO | bot | bot_test.py:490 | Time diff for task 12: 15.796616066666667 minutes
2025-03-27 12:44:12 | INFO | bot | bot_test.py:499 | Sent 15-minute reminder for task 12
2025-03-27 12:45:12 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:45:12.345878
2025-03-27 12:45:12 | INFO | bot | bot_test.py:482 | Found 3 tasks to check
2025-03-27 12:45:12 | INFO | bot | bot_test.py:486 | Task 5: задача5 at 12:38 on 2025-3-27
2025-03-27 12:45:12 | INFO | bot | bot_test.py:490 | Time diff for task 5: -7.205764633333334 minutes
2025-03-27 12:45:12 | INFO | bot | bot_test.py:486 | Task 6: задача6 at 12:45 on 2025-3-27
2025-03-27 12:45:12 | INFO | bot | bot_test.py:490 | Time diff for task 6: -0.20576463333333334 minutes
2025-03-27 12:45:12 | INFO | bot | bot_test.py:486 | Task 13: зщкд14 at 13:15 on 2025-3-27
2025-03-27 12:45:12 | INFO | bot | bot_test.py:490 | Time diff for task 13: 29.794235366666665 minutes
2025-03-27 12:45:12 | INFO | bot | bot_test.py:499 | Sent 15-minute reminder for task 13
2025-03-27 12:46:12 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:46:12.443186
2025-03-27 12:46:12 | INFO | bot | bot_test.py:482 | Found 2 tasks to check
2025-03-27 12:46:12 | INFO | bot | bot_test.py:486 | Task 5: задача5 at 12:38 on 2025-3-27
2025-03-27 12:46:12 | INFO | bot | bot_test.py:490 | Time diff for task 5: -8.207386433333333 minutes
2025-03-27 12:46:12 | INFO | bot | bot_test.py:486 | Task 6: задача6 at 12:45 on 2025-3-27
2025-03-27 12:46:12 | INFO | bot | bot_test.py:490 | Time diff for task 6: -1.2073864333333333 minutes
2025-03-27 12:47:12 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:47:12.443751
2025-03-27 12:47:12 | INFO | bot | bot_test.py:482 | Found 2 tasks to check
2025-03-27 12:47:12 | INFO | bot | bot_test.py:486 | Task 5: задача5 at 12:38 on 2025-3-27
2025-03-27 12:47:12 | INFO | bot | bot_test.py:490 | Time diff for task 5: -9.207395850000001 minutes
2025-03-27 12:47:12 | INFO | bot | bot_test.py:486 | Task 6: задача6 at 12:45 on 2025-3-27
2025-03-27 12:47:12 | INFO | bot | bot_test.py:490 | Time diff for task 6: -2.2073958499999997 minutes
